row_number,term_code,subj_code,crse_numb,crse_title,crse_equiv,crse_text,note_row,crn,ptrm_code,seq_numb,schd_code,schd_type,schd_sort,credit_hrs,link_conn,start_date,end_date,sundays,mondays,tuesdays,wednesdays,thursdays,fridays,saturdays,times,locations,max_enrl,enrl,seats,wlist,perc_full,xlist_max,xlist_cur,instructors,tuition_code,tuition_desc,bill_hrs,note_bottom,notes_skill,crse_row_num,crse_row_total
8,202620,AGRI,5280,Dir Std. in Pest Mgmt,,,S R,24515,2,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,3,3,0,,FULL,,,White S.,,,3,,[],7,26
9,202620,AGRI,5400,Dr. Std. in Soil Science,,,R,24418,2,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,2,3,-1,,FULL,,,Lumactud R.,,,3,,[],8,26
10,202620,AGRI,5460,Special Topics-Soil&Water Mgmt,,,R,23102,2,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Online-ASYNCHRONOUS SESSION,15,1,14,,6.7%,,,France R.,,,3,,[],9,26
11,202620,AGRI,5480,Dir St. in Analyt Instrument,,,R,23103,2,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,15,6,9,,40.0%,,,Emenike C.,,,3,,[],10,26
12,202620,AGRI,5540,Special Topics-Crop Physiology,,,R,23106,2,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,9,3,6,,33.3%,,,MacDonald M.,,,3,,[],11,26
13,202620,AGRI,5700,Commun Skills for Scientists,,,R,23108,2,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,M,,W,,,,1305-1425,Agricultural AGRICULTURAL COX INSTITUTE 354,20,5,15,,25.0%,,,Miar Y.,,,3,,[],12,26
14,202620,AGRI,5705,Module Course,,,R,23925,Y,01,L,Lec,1,3,,05-JAN-2026,07-APR-2026,,,,,,,,C/D,*** 07-JAN-2026 - 09-APR-2026 ***  Consult Department,50,0,50,,0.0%,,,Abbey L.,,,3,,[],13,26
15,202620,AGRI,5720,Applied Stats & Expermtl Dsgn,,,S R,23109,2,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,M,,W,,F,,1035-1125,Agricultural AGRICULTURAL COX INSTITUTE 300,15,0,15,,0.0%,,,Astatkie T.,,,3,,[],14,26
16,202620,AGRI,5740,Advcd Studies Food Chemistry,,,R,23110,2,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,,R,,,1405-1555,Agricultural AGRICULTURAL COX INSTITUTE 356,10,2,8,,20.0%,,,Sun X.,,,3,,[],15,26
17,202620,AGRI,5780,Food and Well-being,,,R,24410,2,99,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Online-ASYNCHRONOUS SESSION,10,6,4,,60.0%,40,28,Kevany K.,,,3,,[],16,26
18,202620,AGRI,6800,Advanced Graduate Seminar,,,,23111,2,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,M,,W,,,,1135-1255,Agricultural AGRICULTURAL COX INSTITUTE 383,10,12,-2,,FULL,,,Hartt C.,,,3,,[],17,26
19,202620,AGRI,9000,Master's Thesis,,,R,23112,2,01,S,Ths,8,0,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,99,69,30,,69.7%,,,Abbey L.,,,0,,[],18,26
20,202620,AGRI,9402,TA - Masters,,,,24160,2,01,L,Lec,1,0,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,75,12,63,,16.0%,,,Staff,,,0,,[],19,26
21,202620,AGRI,9403,TA - PhD,,,,24156,2,01,L,Lec,1,0,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,75,7,68,,9.3%,,,Staff,,,0,,[],20,26
22,202620,AGRI,9408,Research Day - Masters,,,,24161,2,01,L,Lec,1,0,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,75,11,64,,14.7%,,,Staff,,,0,,[],21,26
23,202620,AGRI,9409,Research Day - PhD,,,,24157,2,01,L,Lec,1,0,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,75,1,74,,1.3%,,,Staff,,,0,,[],22,26
24,202620,AGRI,9410,Adm. to Candidacy - Masters,,,,24162,2,01,L,Lec,1,0,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,75,20,55,,26.7%,,,Staff,,,0,,[],23,26
25,202620,AGRI,9411,Preliminary Examination,,,,24158,2,01,L,Lec,1,0,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,75,4,71,,5.3%,,,Staff,,,0,,[],24,26
26,202620,AGRI,9413,Comprehensive Examination,,,,24159,2,01,L,Lec,1,0,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,75,3,72,,4.0%,,,Staff,,,0,,[],25,26
27,202620,AGRI,9530,Doctoral Thesis,,,,23113,2,01,S,Ths,8,0,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,99,55,44,,55.6%,,,Abbey L.,,,0,,[],26,26
1,202620,AGRN,2000,Organic Field Crop Mgmt,,,S,20052,1,72,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Online-ASYNCHRONOUS SESSION,40,0,40,,0.0%,,,Staff,,,3,All students register for section 99,[],1,3
2,202620,AGRN,2000,Organic Field Crop Mgmt,,,,20053,1,99,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Online-ASYNCHRONOUS SESSION,40,46,-6,,FULL,,,Hammermeister A.,,,3,,[],1,3
3,202620,AGRN,2002,Forages and Cover Crops,,,,20054,1,01,L,Lec,1,3,B0,07-JAN-2026,09-APR-2026,,,T,,R,,,1135-1255,Agricultural AGRICULTURAL COX INSTITUTE 157,56,25,31,,44.6%,,,McLean N.,,,3,,[],2,3
4,202620,AGRN,2002,Forages and Cover Crops,,,,20055,1,B01,B,Lab,2,0,L0,07-JAN-2026,09-APR-2026,,,,W,,,,1435-1625,Agricultural AGRICULTURAL COX INSTITUTE 277,28,22,6,,78.6%,,,McLean N.,,,0,,[],2,3
5,202620,AGRN,2002,Forages and Cover Crops,,,,20056,1,B02,B,Lab,2,0,L0,07-JAN-2026,09-APR-2026,,,,W W,,,,1005-1235 1225-1425,Agricultural AGRICULTURAL COX INSTITUTE 277 Agricultural AGRICULTURAL COX INSTITUTE 277,28,3,25,,10.7%,,,McLean N.,,,0,,[],2,3
6,202620,AGRN,2008,Potato Production,,,,20057,1,01,L,Lec,1,3,B0,07-JAN-2026,09-APR-2026,,M,,W,,,,0835-0955,Agricultural AGRICULTURAL COX INSTITUTE 358,24,17,7,,70.8%,,,Ofori P.,,,3,,[],3,3
7,202620,AGRN,2008,Potato Production,,,,20058,1,B01,B,Lab,2,0,L0,07-JAN-2026,09-APR-2026,,,,,,F,,1235-1425,Agricultural AGRICULTURAL COX INSTITUTE 257,24,17,7,,70.8%,,,Ofori P.,,,0,,[],3,3
1,202620,ANAT,1010,Basic Human Anatomy,,,,20059,1,02,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Online-ASYNCHRONOUS SESSION,1000,998,2,,99.8%,,,Jaffar A.,,,3,Please note that this is a Distance Education class  offered via correspondence.  This class is not restricted and is open to all students.,[],1,5
2,202620,ANAT,3010,Introductory Human Anatomy,,,R,20060,1,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,M,,W,,F,,1035-1125,Carleton TUPPER BLDG THTR B,100,99,1,,99.0%,,,Pulakunta T.,,,3,Restricted to students in the Bachelor of Science in the Medical Science Program Any students other than Medical sciences students who wish to enroll in Anat 3010 must contact Dr. T. Pulakunta in the department of Medical Neuroscience,[],2,5
3,202620,ANAT,4010,Advanced Human Anatomy,,,S,20061,1,01,L,Lec,1,3,B0,07-JAN-2026,09-APR-2026,,,T,,R,,,1035-1125,Carleton TUPPER BLDG 14B02,16,16,0,,FULL,,,Rot I.,,,3,Please email Irena Rot at irena.rot@dal.ca if you wish to register for this course.,[],3,5
4,202620,ANAT,4010,Advanced Human Anatomy,,,S,20062,1,B01,B,Lab,2,0,L0,07-JAN-2026,09-APR-2026,,,T,,R,,,1135-1225,Carleton TUPPER BLDG 14G01,16,16,0,,FULL,,,Rot I.,,,0,,[],3,5
5,202620,ANAT,5135,Topics in Mammalian Embryology,,,S,23114,2,01,L,Lec,1,6,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,25,0,25,,0.0%,,,Kablar B.,,,6,"To register for ANAT 5135, please contact the instructor for approval (boris.kablar@dal.ca)",[],4,5
6,202620,ANAT,9530,Doctoral Thesis,,,R,23115,2,01,S,Ths,8,0,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,20,1,19,,5.0%,,,Zhang Y.,,,0,,[],5,5
