ROW_NUMBER,TERM_CODE,SUBJ_CODE,CRSE_NUMB,CRSE_TITLE,CRSE_EQUIV,CRSE_TEXT,NOTE_ROW,CRN,PTRM_CODE,SEQ_NUMB,SCHD_CODE,SCHD_TYPE,SCHD_SORT,CREDIT_HRS,LINK_CONN,START_DATE,END_DATE,SUNDAYS,MONDAYS,TUESDAYS,WEDNESDAYS,THURSDAYS,FRIDAYS,SATURDAYS,TIMES,LOCATIONS,MAX_ENRL,ENRL,SEATS,WLIST,PERC_FULL,XLIST_MAX,XLIST_CUR,INSTRUCTORS,TUITION_CODE,TUITION_DESC,BILL_HRS,NOTE_BOTTOM,NOTES_SKILL,CRSE_ROW_NUM,CRSE_ROW_TOTAL
78,202620,CSCI,2204,Soc Med & Content for Everyone,,,,20790,1,B01,B,Lab,2,0,L0,07-JAN-2026,09-APR-2026,,,T,,,,,1305-1425,Studley MONA CAMPBELL BUILDING 1108,60,47,13,,  78.3%,,,Staff,,,0,,[],24,109
79,202620,CSCI,2360,Probability & Stats for CS,,,,20791,1,01,L,Lec,1,3,B0,07-JAN-2026,09-APR-2026,<br>,<br>,T<br>,<br>,R<br>,<br>F,<br>,1435-1525<br>1035-1125,Studley LSC-COMMON AREA C332<br>Studley LSC-COMMON AREA C332,59,16,43,0,  27.1%,,,Arnold D. ,,,3,,[],25,109
80,202620,CSCI,2360,Probability & Stats for CS,,,S ,20792,1,90,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,15,0,15,,   0.0%,,,Staff,,,0,This section is restricted to students who are part of the Dal-UCL pathway program. ,[],25,109
81,202620,CSCI,2360,Probability & Stats for CS,,,,20794,1,B02,B,Lab,2,0,L0,07-JAN-2026,09-APR-2026,,,,,R,,,1135-1255,Studley GOLDBERG COMPUTER SCIENCE BLDG 143,59,16,43,0,  27.1%,,,Staff,,,0,,[],25,109
82,202620,CSCI,2690,Intro to Software Projects,,,,20795,1,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,T,,R,,,1005-1125,Studley SIR JAMES DUNN BUILDING 101,80,43,37,0,  53.8%,,,Ralph P. ,,,3,,[],26,109
83,202620,CSCI,2690,Intro to Software Projects,,,S ,20796,1,90,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,15,0,15,,   0.0%,,,Godapitiya V. ,,,0,This section is restricted to students who are part of the Dal-UCL pathway program. ,[],26,109
84,202620,CSCI,2691,Introductory Project,,,,20797,1,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,W,,F,,1135-1255,Carleton COLLABORATIVE HEALTH EDUC BLDG C170,80,65,15,-2,  81.3%,200,156,Dey S. (P)<br>Wehbe R. ,,,3,,[],27,109
85,202620,CSCI,2691,Introductory Project,,,S ,20798,1,90,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,15,0,15,,   0.0%,,,Staff,,,0,This section is restricted to students who are part of the Dal-UCL pathway program. ,[],27,109
86,202620,CSCI,3101,Soc/Ethi/Prof Issues in Csci,202620-PHIL-2490,,,20799,1,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,T,,R,,,1435-1555,Studley KILLAM LIBRARY MACME,200,132,68,0,  66.0%,215,146,Fortney M. ,,,3,,[],28,109
87,202620,CSCI,3103,Law for Computer Scientists,,,,20800,1,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,,R,,,1135-1425,Studley MONA CAMPBELL BUILDING 1107,30,21,9,,  70.0%,,,Rosborough A. ,,,3,,[],29,109
88,202620,CSCI,3110,Algorithms I,,,,20801,1,01,L,Lec,1,3,T0,07-JAN-2026,09-APR-2026,,,T,,R,,,1005-1125,Studley GOLDBERG COMPUTER SCIENCE BLDG 127,120,78,42,0,  65.0%,,,Wilde N. ,,,3,,[],30,109
89,202620,CSCI,3110,Algorithms I,,,,20802,1,T01,T,Tut,3,0,L0,07-JAN-2026,09-APR-2026,,,,,,F,,0835-0955,Studley GOLDBERG COMPUTER SCIENCE BLDG 127,120,78,42,0,  65.0%,,,Staff,,,0,,[],30,109
90,202620,CSCI,3120,Operating Systems,,,,20803,1,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,T,,R,,,0835-0955,Carleton TUPPER BLDG THTR B,150,117,33,0,  78.0%,,,Ye Q. ,,,3,,[],31,109
91,202620,CSCI,3130,Intro to Software Engineering,,,,20804,1,01,L,Lec,1,3,"B0, T0",07-JAN-2026,09-APR-2026,,,T,,R,,,1305-1425,Studley KILLAM LIBRARY MACME,150,137,13,0,  91.3%,,,Rahman M. ,,,3,,[],32,109
92,202620,CSCI,3130,Intro to Software Engineering,,,,20805,1,B01,B,Lab,2,0,"L0, T0",07-JAN-2026,09-APR-2026,,M,,W,,,,1605-1725,Studley MONA CAMPBELL BUILDING 1201,50,45,5,0,  90.0%,,,Staff,,,0,,[],32,109
93,202620,CSCI,3130,Intro to Software Engineering,,,,20806,1,B02,B,Lab,2,0,"L0, T0",07-JAN-2026,09-APR-2026,,M,,W,,,,1605-1725,Studley GOLDBERG COMPUTER SCIENCE BLDG 134,50,47,3,0,  94.0%,,,Staff,,,0,,[],32,109
94,202620,CSCI,3130,Intro to Software Engineering,,,,20807,1,B03,B,Lab,2,0,"L0, T0",07-JAN-2026,09-APR-2026,,M,,W,,,,1605-1725,Studley GOLDBERG COMPUTER SCIENCE BLDG 143,50,45,5,0,  90.0%,,,Staff,,,0,,[],32,109
95,202620,CSCI,3130,Intro to Software Engineering,,,,20808,1,T01,T,Tut,3,0,"L0, B0",07-JAN-2026,09-APR-2026,,M,,,,,,1305-1425,Studley CHEMISTRY 125,150,137,13,0,  91.3%,,,Staff,,,0,,[],32,109
96,202620,CSCI,3137,Programming Languages,,,,20809,1,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,T,,R,,,1005-1125,Carleton TUPPER BLDG THTR B,180,180,0,-3,WLIST,,,Jahan S. ,,,3,,[],33,109
97,202620,CSCI,3151,Foundations  of Machine Learn.,,,,20810,1,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,T,,R,,,1005-1125,Studley LSC-COMMON AREA C208,50,17,33,,  34.0%,,,Rudzicz F. ,,,3,,[],34,109
98,202620,CSCI,3152,Found. of Machine Learn. II,,,,20812,1,01,L,Lec,1,3,T0,07-JAN-2026,09-APR-2026,,,T,,R,,,1605-1725,Studley MCCAIN ARTS&SS 2162,36,8,28,,  22.2%,,,Rajendran J. ,,,3,,[],35,109
99,202620,CSCI,3152,Found. of Machine Learn. II,,,,20813,1,T01,T,Tut,3,0,L0,07-JAN-2026,09-APR-2026,,,,,,F,,1305-1425,Studley GOLDBERG COMPUTER SCIENCE BLDG 134,36,8,28,,  22.2%,,,Staff,,,0,,[],35,109
100,202620,CSCI,3160,Designing User Interfaces,,,,20814,1,01,L,Lec,1,3,B0,07-JAN-2026,09-APR-2026,,M,,,,,,0835-1125,Studley KILLAM LIBRARY 2600,OPEN (48)<br> APCS  (80),38<br>29,10<br>51,0<br>,  52.3%,,,MacKay B. ,,,3,,[],36,109
101,202620,CSCI,3160,Designing User Interfaces,,,,20815,1,B01,B,Lab,2,0,L0,07-JAN-2026,09-APR-2026,,,,W,,,,0835-1025,Studley KILLAM LIBRARY 2600,128,67,61,0,  52.3%,,,Staff,,,0,,[],36,109
102,202620,CSCI,3162,Digital Media,,,,20816,1,01,L,Lec,1,3,B0,07-JAN-2026,09-APR-2026,,,T,,R,,,0835-0955,Studley MONA CAMPBELL BUILDING 1201,50,17,33,,  34.0%,,,Arnold D. ,,,3,,[],37,109
103,202620,CSCI,3162,Digital Media,,,,20817,1,B01,B,Lab,2,0,L0,07-JAN-2026,09-APR-2026,,,,,,F,,1305-1425,Studley MONA CAMPBELL BUILDING 1201,50,17,33,,  34.0%,,,Staff,,,0,,[],37,109
104,202620,CSCI,3171,Network Computing,,,,20818,1,01,L,Lec,1,3,B0,07-JAN-2026,09-APR-2026,,,T,,R,,,0835-0955,Studley GOLDBERG COMPUTER SCIENCE BLDG 127,120,106,14,0,  88.3%,,,Lahoud S. ,,,3,,[],38,109
105,202620,CSCI,3171,Network Computing,,,,20819,1,B01,B,Lab,2,0,L0,07-JAN-2026,09-APR-2026,,M,,,,,,1135-1255,Studley GOLDBERG COMPUTER SCIENCE BLDG 143,60,57,3,0,  95.0%,,,Staff,,,0,,[],38,109
106,202620,CSCI,3171,Network Computing,,,,20820,1,B02,B,Lab,2,0,L0,07-JAN-2026,09-APR-2026,,M,,,,,,1135-1255,Studley GOLDBERG COMPUTER SCIENCE BLDG 134,60,49,11,0,  81.7%,,,Staff,,,0,,[],38,109
107,202620,CSCI,3172,Web-Centric Computing,,,,20821,1,01,L,Lec,1,3,B0,07-JAN-2026,09-APR-2026,,,,W,,F,,1435-1555,Carleton DENTISTRY 3156,120,84,36,0,  70.0%,,,Mosquera G. ,,,3,,[],39,109
108,202620,CSCI,3172,Web-Centric Computing,,,,20822,1,B01,B,Lab,2,0,L0,07-JAN-2026,09-APR-2026,,M,,,,,,1435-1555,Studley GOLDBERG COMPUTER SCIENCE BLDG 134,60,60,0,0,WLIST,,,Staff,,,0,,[],39,109
109,202620,CSCI,3172,Web-Centric Computing,,,,20823,1,B02,B,Lab,2,0,L0,07-JAN-2026,09-APR-2026,,M,,,,,,1735-1855,Studley GOLDBERG COMPUTER SCIENCE BLDG 143,60,24,36,0,  40.0%,,,Staff,,,0,,[],39,109
110,202620,CSCI,3691,Intermediate Project,,,,20824,1,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,W,,F,,1135-1255,Carleton COLLABORATIVE HEALTH EDUC BLDG C170,60,43,17,-4,  71.7%,200,156,Dey S. (P)<br>Wehbe R. ,,,3,,[],40,109
111,202620,CSCI,4101,Privacy & Access IT Prof,,,R ,20825,1,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,T,,R,,,1605-1725,Studley MCCAIN ARTS&SS 1170,26,9,17,,  34.6%,36,10,Heggie C. ,,,3,,[],41,109
112,202620,CSCI,4115,Topics in Graph Theory,202620-MATH-4330,,,24150,1,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,M,,W,,F,,1235-1325,Studley LSC-COMMON AREA C220,5,5,0,,FULL,21,12,Brown J. ,,,3,,[],42,109
113,202620,CSCI,4116,Cryptography,202620-MATH-4116,,,20826,1,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,M,,W,,F,,1035-1125,Studley SIR JAMES DUNN BUILDING 135,20,17,3,,  85.0%,70,38,Dilcher K. ,,,3,,[],43,109
114,202620,CSCI,4118,Algorithm Engineering,,,,20827,1,01,L,Lec,1,3,B0,07-JAN-2026,09-APR-2026,,,T,,R,,,1605-1725,Studley MCCAIN ARTS&SS 2176,25,20,5,,  80.0%,35,21,Whidden C. ,,,3,,[],44,109
115,202620,CSCI,4118,Algorithm Engineering,,,,20828,1,B01,B,Lab,2,0,L0,07-JAN-2026,09-APR-2026,,,,,,F,,1005-1125,Studley MONA CAMPBELL BUILDING 1201,25,20,5,,  80.0%,35,21,Staff,,,0,,[],44,109
116,202620,CSCI,4130,Applied ML for SE Applications,,,,20831,1,01,L,Lec,1,3,T0,07-JAN-2026,09-APR-2026,,,T,,,,,1435-1725,Studley MCCAIN ARTS&SS 1198,15,2,13,,  13.3%,30,12,Sharma T. ,,,3,,[],45,109
117,202620,CSCI,4130,Applied ML for SE Applications,,,,20832,1,T01,T,Tut,3,0,L0,07-JAN-2026,09-APR-2026,,M,,,,,,0835-0955,Studley MCCAIN ARTS&SS 2118,15,2,13,,  13.3%,30,12,Staff,,,0,,[],45,109
118,202620,CSCI,4144,Data Mining/Warehousing,,,,20835,1,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,T,,R,,,1435-1555,Studley LSC-COMMON AREA C242,115,108,7,-17,  93.9%,127,110,Ye Q. ,,,3,,[],46,109
119,202620,CSCI,4146,Process of Data Science,,,,24447,1,02,L,Lec,1,3,B0,07-JAN-2026,09-APR-2026,<br>,<br>,T<br>,<br>,<br>R,<br>,<br>,1435-1555<br>1435-1555,Studley GOLDBERG COMPUTER SCIENCE BLDG 143<br>Studley MONA CAMPBELL BUILDING 1201,25,2,23,,   8.0%,60,14,Oore S. ,,,3,,[],47,109
120,202620,CSCI,4146,Process of Data Science,,,,24448,1,B02,B,Lab,2,0,L0,07-JAN-2026,09-APR-2026,,M,,,,,,1005-1125,Studley KENNETH C ROWE MANAGEMENT 1014,25,2,23,,   8.0%,60,14,Staff,,,0,,[],47,109
121,202620,CSCI,4158,NLP with Deep Learning,,,,20838,1,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,T,,,,,1005-1255,Studley MONA CAMPBELL BUILDING 1201,35,20,15,,  57.1%,50,35,Sajjad H. ,,,3,,[],48,109
122,202620,CSCI,4163,Human-Computer Interaction,,,,20839,1,01,L,Lec,1,3,B0,07-JAN-2026,09-APR-2026,,,,W,,,,1435-1725,Studley KENNETH C ROWE MANAGEMENT 1009,60,65,-5,-2,WLIST,72,71,MacKay B. ,,,3,,[],49,109
123,202620,CSCI,4163,Human-Computer Interaction,,,,20840,1,B01,B,Lab,2,0,L0,07-JAN-2026,09-APR-2026,,,,,,F,,0935-1125,Studley KILLAM LIBRARY 2600,60,65,-5,-2,WLIST,72,71,Staff,,,0,,[],49,109
124,202620,CSCI,4166,Visualization,,,,20841,1,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,T,,R,,,1435-1555,Studley MCCAIN ARTS&SS 2162,20,17,3,,  85.0%,35,23,Brooks S. ,,,3,,[],50,109
125,202620,CSCI,4169,Usable Security and Privacy,,,,20842,1,01,L,Lec,1,3,B0,07-JAN-2026,09-APR-2026,,,T,,R,,,1605-1725,Studley KENNETH C ROWE MANAGEMENT 1007,55,48,7,,  87.3%,,,Sampangi R. ,,,3,,[],51,109
126,202620,CSCI,4169,Usable Security and Privacy,,,,20843,1,B01,B,Lab,2,0,L0,07-JAN-2026,09-APR-2026,,M,,,,,,1305-1425,Studley MONA CAMPBELL BUILDING 1201,55,48,7,,  87.3%,,,Staff,,,0,,[],51,109
127,202620,CSCI,4174,Network Security,,,,20844,1,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,M,,W,,F,,1135-1225,Studley SIR JAMES DUNN BUILDING 117,170,157,13,,  92.4%,230,175,Sampalli S. ,,,3,,[],52,109
128,202620,CSCI,4176,Mobile Computing,,,,20845,1,01,L,Lec,1,3,B0,07-JAN-2026,09-APR-2026,,M,,W,,,,0835-0955,Studley GOLDBERG COMPUTER SCIENCE BLDG 127,75,56,19,,  74.7%,120,64,Shakeri H. ,,,3,,[],53,109
129,202620,CSCI,4176,Mobile Computing,,,,20846,1,B01,B,Lab,2,0,L0,07-JAN-2026,09-APR-2026,,,,,R,,,1135-1255,Studley GOLDBERG COMPUTER SCIENCE BLDG 134,40,37,3,,  92.5%,60,40,Staff,,,0,,[],53,109
130,202620,CSCI,4176,Mobile Computing,,,,20847,1,B02,B,Lab,2,0,L0,07-JAN-2026,09-APR-2026,,,,,,F,,1605-1725,Studley GOLDBERG COMPUTER SCIENCE BLDG 134,35,19,16,,  54.3%,60,24,Staff,,,0,,[],53,109
131,202620,CSCI,4177,Advanced Web Services,,,,20848,1,01,L,Lec,1,3,T0,07-JAN-2026,09-APR-2026,,,T,,R,,,1305-1425,Studley GOLDBERG COMPUTER SCIENCE BLDG 143,30,27,3,,  90.0%,60,30,Mosquera G. ,,,3,,[],54,109
132,202620,CSCI,4177,Advanced Web Services,,,,20849,1,T01,T,Tut,3,0,L0,07-JAN-2026,09-APR-2026,,,,,,F,,1305-1425,Studley GOLDBERG COMPUTER SCIENCE BLDG 143,30,27,3,,  90.0%,60,30,Staff,,,0,,[],54,109
133,202620,CSCI,4179,Intelligent Wireless Networks,,,,20850,1,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,T,,R,,,1435-1555,Studley HENRY HICKS ACADEMIC ADMIN 212,35,27,8,,  77.1%,50,30,Tang Y. ,,,3,,[],55,109
134,202620,CSCI,4181,Bioinformatics Algorithms,,,,20851,1,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,M,,W,,,,1435-1555,Studley MCCAIN ARTS&SS 2176,20,10,10,,  50.0%,30,12,Maguire F. ,,,3,,[],56,109
135,202620,CSCI,4190,Spec Topics-Computer Science,,,,24487,1,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,M,,,,,,1735-2025,Studley MCCAIN ARTS&SS 1116,20,2,18,,  10.0%,30,12,Oore S. ,,,3,The topic of this course is AI & Creativity ,[],57,109
136,202620,CSCI,4192,Directed Studies,,,S R ,20852,1,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,,,,,C/D,Consult Department,15,10,5,,  66.7%,,,Arnold D. ,,,3,,[],58,109
137,202620,CSCI,4193,Technology Innovation,,,,20853,1,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,T,,,,,1435-1725,Studley KENNETH C ROWE MANAGEMENT 1014,30,15,15,,  50.0%,60,15,Cochran A. ,,,3,,[],59,109
138,202620,CSCI,4194,Spec Topics-Computer Science,,,S ,24490,1,01,L,Lec,1,3,T0,07-JAN-2026,09-APR-2026,,,T,,R,,,0835-0955,Carleton TUPPER BLDG 14B02,20,1,19,,   5.0%,30,12,Oore S. ,,,3,Please contact the instructor (sageev@dal.ca) for registration permission. ,[],60,109
139,202620,CSCI,4194,Spec Topics-Computer Science,,,,24491,1,T01,T,Tut,3,0,L0,07-JAN-2026,09-APR-2026,,M,,,,,,1435-1555,Studley MCCAIN ARTS&SS 2017,20,1,19,,   5.0%,30,12,Oore S. ,,,0,,[],60,109
140,202620,CSCI,4260,Persuasive Computing Design,,,,24378,1,01,L,Lec,1,3,B0,07-JAN-2026,09-APR-2026,,,,,,F,,1435-1725,Studley MCCAIN ARTS&SS 2116,18,2,16,,  11.1%,36,11,Oyebode O. ,,,3,,[],61,109
141,202620,CSCI,4260,Persuasive Computing Design,,,,24379,1,B01,B,Lab,2,0,L0,07-JAN-2026,09-APR-2026,,,,,R,,,1005-1125,Studley GOLDBERG COMPUTER SCIENCE BLDG 143,18,2,16,,  11.1%,36,11,Staff,,,0,,[],61,109
142,202620,CSCI,4271,Programmable Net Sys & Sec,,,,24369,1,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,T,,R,,,0835-0955,Studley MCCAIN ARTS&SS 1170,25,24,1,,  96.0%,,,Haque I. ,,,3,,[],62,109
143,202620,CSCI,4691,Advanced Project,,,,20854,1,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,W,,F,,1135-1255,Carleton COLLABORATIVE HEALTH EDUC BLDG C170,60,48,12,0,  80.0%,200,156,Dey S. (P)<br>Wehbe R. ,,,3,,[],63,109
144,202620,CSCI,5001,Privacy & IT,,,R ,24108,2,02,L,Lec,1,3,T0,07-JAN-2026,09-APR-2026,,,T,,R,,,1605-1725,Studley MCCAIN ARTS&SS 1170,10,1,9,,  10.0%,36,10,Heggie C. ,,,3,,[],64,109
145,202620,CSCI,5001,Privacy & IT,,,,24109,2,T02,T,Tut,3,0,L0,07-JAN-2026,09-APR-2026,,,,,,F,,1135-1255,Studley GOLDBERG COMPUTER SCIENCE BLDG 134,20,1,19,,   5.0%,,,Staff,,,0,,[],64,109
146,202620,CSCI,5100,Communicating Comp Sci Ideas,,,R ,23271,2,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,,W,,,,1135-1425,Studley MCCAIN ARTS&SS 2170,20,6,14,0,  30.0%,,,Cochran A. ,,,3,,[],65,109
147,202620,CSCI,5193,Technology Innovation,,,R ,23272,2,01,L,Lec,1,3,,07-JAN-2026,09-APR-2026,,,T,,,,,1435-1725,Studley KENNETH C ROWE MANAGEMENT 1014,30,0,30,,   0.0%,60,15,Cochran A. ,,,3,,[],66,109
148,202620,CSCI,5308,Adv Topics in Software Develop,,,R ,23273,2,01,L,Lec,1,3,T0,07-JAN-2026,09-APR-2026,,,,,R,,,1435-1725,Studley GOLDBERG COMPUTER SCIENCE BLDG 143,60,14,46,0,  23.3%,,,Sharma T. ,,,3,,[],67,109
149,202620,CSCI,5308,Adv Topics in Software Develop,,,R ,23274,2,T01,T,Tut,3,0,L0,07-JAN-2026,09-APR-2026,,,,,,F,,1435-1555,Studley GOLDBERG COMPUTER SCIENCE BLDG 134,60,14,46,0,  23.3%,,,Staff,,,0,,[],67,109
150,202620,CSCI,5408,"Data Mgmt, Warhsng Analytics",,,R ,23275,2,01,L,Lec,1,3,B0,07-JAN-2026,09-APR-2026,,,T,,R,,,1005-1125,Studley MCCAIN ARTS&SS 2116,36,14,22,0,  38.9%,,,Dey S. ,,,3,,[],68,109
151,202620,CSCI,5408,"Data Mgmt, Warhsng Analytics",,,,23276,2,B01,B,Lab,2,0,L0,07-JAN-2026,09-APR-2026,,,,,,F,,1135-1255,Studley GOLDBERG COMPUTER SCIENCE BLDG 143,36,14,22,0,  38.9%,,,Staff,,,0,,[],68,109
152,202620,CSCI,5409,Adv Topic in Cloud Computing,,,R ,23277,2,01,L,Lec,1,3,T0,07-JAN-2026,09-APR-2026,,M,,W,,,,1605-1725,Studley MCCAIN ARTS&SS 2170,36,27,9,,  75.0%,,,Yang L. ,,,3,,[],69,109
153,202620,CSCI,5409,Adv Topic in Cloud Computing,,,,23278,2,T01,T,Tut,3,0,L0,07-JAN-2026,09-APR-2026,,,,,,F,,0835-0955,Studley MCCAIN ARTS&SS 2170,36,27,9,,  75.0%,,,Staff,,,0,,[],69,109
